province,country,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio
,Afghanistan,38919.0,1437.0,32576.0,4906.0,99.9760046286072,3.692283974408387
,Albania,12226.0,358.0,6888.0,4980.0,424.83841823615273,2.928185833469655
,Algeria,49623.0,1665.0,34923.0,13035.0,113.16264472888365,3.35529895411402
,Andorra,1564.0,53.0,1164.0,347.0,2024.202420242024,3.3887468030690537
,Angola,3901.0,147.0,1445.0,2309.0,11.869312329589718,3.76826454755191
,Antigua and Barbuda,96.0,3.0,92.0,1.0,98.03120660076792,3.125
,Argentina,622934.0,12799.0,478077.0,132058.0,1378.3013399681124,2.0546317908478264
,Armenia,47154.0,928.0,42551.0,3675.0,1591.3019356554364,1.968019680196802
Australian Capital Territory,Australia,113.0,3.0,110.0,0.0,26.395701938799345,2.6548672566371683
New South Wales,Australia,4200.0,53.0,2994.0,1153.0,51.736881005173686,1.2619047619047619
Northern Territory,Australia,33.0,0.0,31.0,2.0,13.436482084690551,0.0
Queensland,Australia,1152.0,6.0,1123.0,23.0,22.51979278662888,0.5208333333333333
South Australia,Australia,466.0,4.0,462.0,0.0,26.530031312268715,0.8583690987124464
Tasmania,Australia,230.0,13.0,217.0,0.0,42.95051353874883,5.6521739130434785
Victoria,Australia,20042.0,761.0,18379.0,902.0,302.2971688864085,3.79702624488574
Western Australia,Australia,662.0,9.0,650.0,3.0,25.165361514483386,1.3595166163141994
,Austria,37474.0,765.0,28961.0,7748.0,416.08189731746313,2.0414153813310563
,Azerbaijan,39042.0,574.0,36601.0,1867.0,385.06091471939277,1.4702115670303777
,Bahamas,3214.0,73.0,1679.0,1462.0,817.2959557327691,2.271313005600498
,Bahrain,64499.0,221.0,57299.0,6979.0,3790.529171953409,0.34264097117784775
,Bangladesh,347372.0,4913.0,254386.0,88073.0,210.92555796386702,1.4143339129233214
,Barbados,185.0,7.0,172.0,6.0,64.37671163756956,3.783783783783784
,Belarus,75461.0,776.0,73212.0,1473.0,798.5864804465845,1.0283457680126158
,Belgium,100748.0,9944.0,18945.0,71859.0,869.2954106503615,9.870171120022233
,Belize,1606.0,20.0,876.0,710.0,403.902208384366,1.2453300124533
,Benin,2280.0,40.0,1950.0,290.0,18.806918768463568,1.7543859649122806
,Bhutan,259.0,0.0,190.0,69.0,33.566092803118664,0.0
,Bolivia,130470.0,7586.0,89032.0,33852.0,1117.7047534106187,5.814363455200429
,Bosnia and Herzegovina,25217.0,758.0,17489.0,6970.0,768.6199922885014,3.0059087123765713
,Botswana,2567.0,13.0,624.0,1930.0,109.15856056981876,0.506427736657577
Acre,Brazil,27061.0,648.0,24298.0,2115.0,3068.366716367985,2.3945900003695355
Alagoas,Brazil,83950.0,2014.0,80658.0,1278.0,2515.463583907865,2.3990470518165576
Amapa,Brazil,46738.0,691.0,35026.0,11021.0,5526.343482738601,1.4784543626171425
Amazonas,Brazil,131573.0,3956.0,109874.0,17743.0,3174.566791415426,3.0066959026548
Bahia,Brazil,294210.0,6221.0,280351.0,7638.0,1978.1398103309448,2.1144760545188808
Ceara,Brazil,233600.0,8801.0,206727.0,18072.0,2558.0158207146287,3.767551369863013
Distrito Federal,Brazil,183096.0,3048.0,170627.0,9421.0,6072.296061245634,1.6647004849914797
Espirito Santo,Brazil,123720.0,3408.0,113545.0,6767.0,3078.645813892725,2.7546071774975753
Goias,Brazil,182856.0,4135.0,172741.0,5980.0,2605.3972199179466,2.261342258389115
Maranhao,Brazil,167333.0,3643.0,157810.0,5880.0,2365.070236365685,2.177095970310698
Mato Grosso,Brazil,112242.0,3214.0,92468.0,16560.0,3221.2109402129336,2.863455747402933
Mato Grosso do Sul,Brazil,63466.0,1162.0,56313.0,5991.0,2283.782645900339,1.830901585100684
Minas Gerais,Brazil,268009.0,6656.0,233463.0,27890.0,1266.0571876778415,2.4834986884768795
Para,Brazil,220205.0,6451.0,204728.0,9026.0,2559.670528364679,2.9295429259099475
Paraiba,Brazil,116588.0,2695.0,89305.0,24588.0,2901.550896723772,2.3115586509760866
Parana,Brazil,163479.0,4093.0,114358.0,45028.0,1429.7674899424585,2.5036854886560356
Pernambuco,Brazil,141042.0,8004.0,122512.0,10526.0,1475.786880729462,5.674905347343344
Piaui,Brazil,90061.0,2025.0,87492.0,544.0,2751.443758712732,2.248476032911027
Rio Grande do Norte,Brazil,66963.0,2348.0,39924.0,24691.0,1909.489790418931,3.5064139898152713
Rio Grande do Sul,Brazil,174140.0,4371.0,159153.0,10616.0,1530.5998230326354,2.510049385551855
Rio de Janeiro,Brazil,251261.0,17634.0,228258.0,5369.0,1455.324816305504,7.018200198200278
Rondonia,Brazil,62697.0,1297.0,52932.0,8468.0,3527.8031763001313,2.068679522146195
Roraima,Brazil,48088.0,613.0,15164.0,32311.0,7938.444369974297,1.2747462984528364
Santa Catarina,Brazil,205250.0,2635.0,194520.0,8095.0,2864.7044406617474,1.2838002436053593
Sao Paulo,Brazil,931673.0,33927.0,780448.0,117298.0,2028.946636068181,3.6415137070624564
Sergipe,Brazil,75772.0,1976.0,68932.0,4864.0,3296.303643456987,2.6078234704112337
Tocantins,Brazil,63167.0,866.0,45266.0,17035.0,4016.0445962974595,1.3709690186331471
,Brunei,145.0,3.0,142.0,0.0,33.144145029635446,2.0689655172413794
,Bulgaria,18819.0,755.0,13558.0,4506.0,270.8375758892817,4.0119028641266805
,Burkina Faso,1816.0,56.0,1176.0,584.0,8.687632628719763,3.0837004405286343
,Burma,5263.0,81.0,1188.0,3994.0,9.672890876962336,1.5390461713851415
,Burundi,473.0,1.0,374.0,98.0,3.9778715964914335,0.21141649048625794
,Cabo Verde,5186.0,50.0,4581.0,555.0,932.7539443297336,0.9641342074816814
,Cambodia,275.0,0.0,274.0,1.0,1.644838070476945,0.0
,Cameroon,20431.0,416.0,19124.0,891.0,76.9649087330516,2.0361215799520336
Alberta,Canada,16381.0,255.0,14702.0,1424.0,371.18645066354026,1.5566815212746474
British Columbia,Canada,7842.0,223.0,5797.0,1822.0,153.43626202499468,2.8436623310380003
Diamond Princess,Canada,0.0,1.0,0.0,,,0.0
Grand Princess,Canada,13.0,0.0,13.0,0.0,,0.0
Manitoba,Canada,1558.0,16.0,1211.0,331.0,113.10205246105856,1.0269576379974326
New Brunswick,Canada,194.0,2.0,192.0,0.0,24.872018082213557,1.0309278350515463
Newfoundland and Labrador,Canada,272.0,3.0,267.0,2.0,52.17074410441821,1.1029411764705883
Northwest Territories,Canada,5.0,0.0,5.0,0.0,11.134865490824867,0.0
Nova Scotia,Canada,1086.0,65.0,1021.0,0.0,111.10463171269942,5.985267034990792
Ontario,Canada,48317.0,2876.0,42573.0,2868.0,328.4228396649852,5.952356313512842
Prince Edward Island,Canada,57.0,0.0,56.0,1.0,36.039909457630976,0.0
Quebec,Canada,67080.0,5797.0,58490.0,2793.0,785.6940895143103,8.641920095408468
